index,kanji,hiragana
1,飴,あめ
2,蚂蚁,あり
3,英国,イギリス
4,医者,いしゃ
5,犬,いぬ
6,牛,うし
7,海,うみ
8,梅,うめ
9,衛星,えいせい
10,围裙,エプロン
11,鉛筆,えんぴつ
12,狼,おおかみ
13,饭团,おにぎり
14,老太婆,おばあさん
15,鹅,がちょう
16,乐器,がっき
17,蟹,カニ
18,神,かみ
19,川,かわ
20,树,き
21,技師,ぎし
22,贵族,きぞく
23,麒麟,きりん
24,银,ぎん
25,空港,くうこう
26,熊,くま
27,車,くるま
28,美食,グルメ
29,军队,ぐんたい
30,蛋糕,ケーキ
31,警察,けいさつ
32,艺术家,げいじゅつか
33,携帯,けいたい
34,木屐,げた
35,鯉,こい
36,コップ,コップ
37,子供,こども
38,ご飯,ごはん
39,橡胶,ゴム
40,ザーサイ,ザーサイ
41,罪人,ざいにん
42,財宝,ざいほう
43,桜,さくら
44,鮫,さめ
45,猿,さる
46,ジーンズ,ジーンズ
47,香蕈,しいたけ
48,鹿,しか
49,记者,ジャーナリスト
50,醋,す
51,西瓜,すいか
52,図鑑,ずかん
53,頭巾,ずきん
54,鳖,すっぽん
55,頭脳,ずのう
56,石鹸,せっけん
57,铜钱,ぜに
58,果冻,ゼリー
59,芹菜,セロリ
60,先生,せんせい
61,象,ぞう
62,僧侶,そうりょ
63,沙发,ソフア
64,ソフト,ソフト
65,僵尸,ゾンビ
66,大豆,だいず
67,太阳,たいよう
68,タクシー,タクシー
69,辰,たつ
70,鸭子,ダック
71,血,ち
72,力持ち,ちからもち
73,地図,ちず
74,拐杖,つえ
75,妻,つま
76,爪,つめ
77,手,て
78,デスク,デスク
79,铁板,てっぱん
80,デブ,でぶ
81,ドーナツ,ドーナツ
82,東京,とうきょう
83,洞窟,どうくつ
84,時計,とけい
85,老虎,とら
86,骑土,ナイト
87,刀,ナイフ
88,茄子,なす
89,鶏,にわとり
90,妊婦,にんぷ
91,裸体,ヌード
92,布,ぬの
93,葱,ねぎ
94,猫,ねこ
95,ノート,ノート
96,诺贝尔,ノーベル
97,蚤,のみ
98,爆竹,ばくちく
99,バス,バス
100,蜂,はち
101,花,はな
102,夏威夷,ハワイ
103,ビール,ビール
104,美人,びじん
105,羊,ひつじ
106,喜马拉雅,ヒマラヤ
107,向日葵,ひまわり
108,风扇,ファン
109,風船,ふうせん
110,服,ふく
111,丑女,ブス
112,部長,ぶちょう
113,葡蔔,ぶどう
114,美国,べいこく
115,蛇,へび
116,便所,べんじょ
117,鳳凰,ほうおう
118,帽子,ぼうし
119,星,ほし
120,墓地,ぼち
121,ホテル,ホテル
122,麦克风,マイク
123,澳门,マカオ
124,饅頭,まんじゅう
125,港,みなと
126,ミミズ,みみず
127,ミルク,みるく
128,虫,むし
129,无人岛,むじんとう
130,鞭,むち
131,メード,メード
132,眼鏡,めがね
133,盲,めくら
134,莫斯科,モスクワ
135,モニター,モニター
136,桃,もも
137,やかん,やかん
138,黑社会,やくざ
139,雪,ゆき
140,酸奶,ヨーグルト
141,欧洲,ヨーロッパ
142,拉面,ラーメン
143,罗汉,らかん
144,駱駝,らくだ
145,リモコン,リモコン
146,リンゴ,りんご
147,ルビ,ルビ
148,瑠璃,るり
149,流浪者,るろうしゃ
150,激光,レーザー
151,冷蔵庫,れいぞうこ
152,列車,れっしゃ
153,蠟燭,ろうそく
154,ロボット,ロボット
155,棉,わた
156,鰐,わに
157,碗,わん
158,面具,似づら
