index,kanji,hiragana
1,あめ,
2,あり,
3,イギリス,
4,いしゃ,
5,いぬ,
6,うし,
7,うみ,
8,うめ,
9,えいせい,
10,エプロン,
11,えんぴつ,
12,おおかみ,
13,おにぎり,
14,おばあさん,
15,がちょう,
16,がっき,
17,カニ,
18,かみ,
19,かわ,
20,き,
21,ぎし,
22,きぞく,
23,きりん,
24,ぎん,
25,くうこう,
26,くま,
27,くるま,
28,グルメ,
29,ぐんたい,
30,ケーキ,
31,けいさつ,
32,げいじゅつか,
33,けいたい,
34,げた,
35,こい,
36,コップ,
37,こども,
38,ごはん,
39,ゴム,
40,ザーサイ,
41,ざいにん,
42,ざいほう,
43,さくら,
44,さめ,
45,さる,
46,ジーンズ,
47,しいたけ,
48,しか,
49,ジャーナリスト,
50,す,
51,すいか,
52,ずかん,
53,ずきん,
54,すっぽん,
55,ずのう,
56,せっけん,
57,ぜに,
58,ゼリー,
59,セロリ,
60,せんせい,
61,ぞう,
62,そうりょ,
63,ソフア,
64,ソフト,
65,ゾンビ,
66,だいず,
67,たいよう,
68,タクシー,
69,たつ,
70,ダック,
71,ち,
72,ちからもち,
73,ちず,
74,つえ,
75,つま,
76,つめ,
77,て,
78,デスク,
79,てっぱん,
80,でぶ,
81,ドーナツ,
82,とうきょう,
83,どうくつ,
84,とけい,
85,とら,
86,ナイト,
87,ナイフ,
88,なす,
89,にわとり,
90,にんぷ,
91,ヌード,
92,ぬの,
93,ねぎ,
94,ねこ,
95,ノート,
96,ノーベル,
97,のみ,
98,ばくちく,
99,バス,
100,はち,
101,はな,
102,ハワイ,
103,ビール,
104,びじん,
105,ひつじ,
106,ヒマラヤ,
107,ひまわり,
108,ファン,
109,ふうせん,
110,ふく,
111,ブス,
112,ぶちょう,
113,ぶどう,
114,べいこく,
115,へび,
116,べんじょ,
117,ほうおう,
118,ぼうし,
119,ほし,
120,ぼち,
121,ホテル,
122,マイク,
123,マカオ,
124,まんじゅう,
125,みなと,
126,みみず,
127,みるく,
128,むし,
129,むじんとう,
130,むち,
131,メード,
132,めがね,
133,めくら,
134,モスクワ,
135,モニター,
136,もも,
137,やかん,
138,やくざ,
139,ゆき,
140,ヨーグルト,
141,ヨーロッパ,
142,ラーメン,
143,らかん,
144,らくだ,
145,リモコン,
146,りんご,
147,ルビ,
148,るり,
149,るろうしゃ,
150,レーザー,
151,れいぞうこ,
152,れっしゃ,
153,ろうそく,
154,ロボット,
155,わた,
156,わに,
157,わん,
158,似づら,
