序号,日本語,平假名注音,中文,英文
1,飴,あめ,糖果,candy
2,蟻,あり,蚂蚁,ant
3,英国,いぎりす,英国,United Kingdom
4,医者,いしゃ,医生,doctor
5,犬,いぬ,狗,dog
6,牛,うし,牛,cow
7,海,うみ,海,ocean
8,梅,うめ,梅子,plum
9,衛星,えいせい,卫星,satellite
10,围裙,えぷろん,围裙,apron
11,鉛筆,えんぴつ,铅笔,pencil
12,狼,おおかみ,狼,wolf
13,饭团,おにぎり,饭团,onigiri
14,老太婆,おばあさん,老奶奶,old lady
15,鹅,がちょう,鹅,goose
16,乐器,がっき,乐器,musical instrument
17,蟹,かに,螃蟹,crab
18,神,かみ,神,god
19,川,かわ,河川,river
20,树,き,树,tree
21,技師,ぎし,技师,technician
22,贵族,きぞく,贵族,noble
23,麒麟,きりん,麒麟,qilin
24,银,ぎん,银,silver
25,空港,くうこう,机场,airport
26,熊,くま,熊,bear
27,車,くるま,车,car
28,グルメ,ぐるめ,美食,gourmet food
29,军队,ぐんたい,军队,army
30,蛋糕,けーき,蛋糕,cake
31,警察,けいさつ,警察,police
32,艺术家,げいじゅつか,艺术家,artist
33,携帯,けいたい,手机,cell phone
34,木屐,げた,木屐,wooden clogs
35,鯉,こい,鲤鱼,koi fish
36,コップ,こっぷ,杯子,glass (cup)
37,子供,こども,孩子,child
38,ご飯,ごはん,米饭,rice
39,橡胶,ごむ,橡胶,rubber
40,ザーサイ,ざーさい,榨菜,pickled mustard greens
41,罪人,ざいにん,罪人,sinner
42,財宝,ざいほう,宝藏,treasure
43,桜,さくら,樱花,cherry blossom
44,鮫,さめ,鲨鱼,shark
45,猿,さる,猴子,monkey
46,ジーンズ,じーんず,牛仔裤,jeans
47,香蕈,しいたけ,香菇,shiitake mushroom
48,鹿,しか,鹿,deer
49,ジャーナリスト,じゃーなりすと,记者,journalist
50,醋,す,醋,vinegar
51,西瓜,すいか,西瓜,watermelon
52,図鑑,ずかん,图鉴,illustrated reference book
53,頭巾,ずきん,头巾,headscarf
54,鳖,すっぽん,鳖,softshell turtle
55,頭脳,ずのう,头脑,intellect
56,石鹸,せっけん,肥皂,soap
57,銭,ぜに,铜钱,copper coin
58,ゼリー,ぜりー,果冻,jelly
59,セロリ,せろり,芹菜,celery
60,先生,せんせい,老师,teacher
61,象,ぞう,大象,elephant
62,僧侶,そうりょ,僧侣,monk
63,沙发,そふあ,沙发,sofa
64,ソフト,そふと,软件,software
65,僵尸,ぞんび,僵尸,zombie
66,大豆,だいず,大豆,soybean
67,太阳,たいよう,太阳,sun
68,タクシー,たくしー,出租车,taxi
69,辰,たつ,辰（时辰）,dragon (time symbol)
70,ダック,だっく,鸭子,duck
71,血,ち,血液,blood
72,力持ち,ちからもち,力气大的人,strong person
73,地図,ちず,地图,map
74,拐杖,つえ,拐杖,cane
75,妻,つま,妻子,wife
76,爪,つめ,爪,nail (claw)
77,手,て,手,hand
78,デスク,ですく,书桌,desk
79,铁板,てっぱん,铁板,iron plate
80,デブ,でぶ,胖子,fat person
81,ドーナツ,どーなつ,甜甜圈,doughnut
82,東京,とうきょう,东京,Tokyo
83,洞窟,どうくつ,洞穴,cave
84,時計,とけい,时钟,watch / clock
85,老虎,とら,老虎,tiger
86,ナイト,ないと,骑士,knight
87,ナイフ,ないふ,刀,knife
88,茄子,なす,茄子,eggplant
89,鶏,にわとり,鸡,chicken
90,妊婦,にんぷ,孕妇,pregnant woman
91,ヌード,ぬーど,裸体,nude
92,布,ぬの,布料,cloth
93,葱,ねぎ,葱,green onion
94,猫,ねこ,猫,cat
95,ノート,のーと,笔记本,notebook
96,ノーベル,のーべる,诺贝尔,Nobel
97,蚤,のみ,跳蚤,flea
98,爆竹,ばくちく,爆竹,firecracker
99,バス,ばす,公共汽车,bus
100,蜂,はち,蜜蜂,bee
101,花,はな,花,flower
102,ハワイ,はわい,夏威夷,Hawaii
103,ビール,びーる,啤酒,beer
104,美人,びじん,美人,beauty
105,羊,ひつじ,羊,sheep
106,ヒマラヤ,ひまらや,喜马拉雅,Himalayas
107,向日葵,ひまわり,向日葵,sunflower
108,ファン,ふぁん,风扇,fan
109,風船,ふうせん,气球,balloon
110,服,ふく,服装,clothing
111,ブス,ぶす,丑女,ugly woman
112,部長,ぶちょう,部长,department head
113,葡萄,ぶどう,葡萄,grape
114,美国,べいこく,美国,United States
115,蛇,へび,蛇,snake
116,便所,べんじょ,厕所,toilet
117,鳳凰,ほうおう,凤凰,phoenix
118,帽子,ぼうし,帽子,hat
119,星,ほし,星星,star
120,墓地,ぼち,墓地,cemetery
121,ホテル,ほてる,酒店,hotel
122,マイク,まいく,麦克风,microphone
123,マカオ,まかお,澳门,Macau
124,饅頭,まんじゅう,馒头,steamed bun
125,港,みなと,港口,harbor
126,ミミズ,みみず,蚯蚓,earthworm
127,ミルク,みるく,牛奶,milk
128,虫,むし,虫,insect
129,無人島,むじんとう,无人岛,deserted island
130,鞭,むち,鞭,whip
131,メード,めーど,女仆,maid
132,眼鏡,めがね,眼镜,glasses
133,盲,めくら,盲人,blind
134,モスクワ,もすくわ,莫斯科,Moscow
135,モニター,もにたー,显示器,monitor
136,桃,もも,桃子,peach
137,薬缶,やかん,水壶,teakettle
138,ヤクザ,やくざ,黑社会,yakuza
139,雪,ゆき,雪,snow
140,ヨーグルト,よーぐると,酸奶,yogurt
141,ヨーロッパ,よーろっぱ,欧洲,Europe
142,ラーメン,らーめん,拉面,ramen
143,罗汉,らかん,罗汉,bodhisattva
144,駱駝,らくだ,骆驼,camel
145,リモコン,りもこん,遥控器,remote control
146,リンゴ,りんご,苹果,apple
147,ルビ,るび,注音,ruby (phonetic mark)
148,瑠璃,るり,琉璃,lapis lazuli
149,流浪者,るろうしゃ,流浪者,drifter
150,激光,れーざー,激光,laser
151,冷蔵庫,れいぞうこ,冰箱,refrigerator
152,列車,れっしゃ,列车,train
153,蠟燭,ろうそく,蜡烛,candle
154,ロボット,ろぼっと,机器人,robot
155,棉,わた,棉花,cotton
156,鰐,わに,鳄鱼,crocodile
157,碗,わん,碗,bowl
