index,kanji,hiragana
1,歌,うた
2,カラオケ,カラオケ
3,ロック,ロック
4,ポップス,ポップス
5,クラシック,クラシック
6,ピアノ,ピアノ
7,絵,え
8,英語,えいご
9,スペイン語,スペインご
10,スポーツ,スポーツ
11,水泳,すいえい
12,ゴルフ (golf),ゴルフ
13,運転,うんてん
14,飲み物,のみもの
15,お酒,おさけ
16,肉,にく
17,野菜,やさい
18,果物,くだもの
19,ヒマワリ,ヒマワリ
20,バラ,バラ
21,コンピュータ,コンピュータ
22,窓,まど
23,結婚式,けっこんしき
24,写真展,しゃしんてん
25,旅館,りょかん
26,別荘,べっそう
27,寄木細工,よせぎざいく
28,模様,もよう
29,外国,がいこく
30,会議,かいぎ
31,足,あし
32,僕,ぼく
33,分かる,わかる
34,迷う,まよう
35,できる,できる
36,閉める,しめる
37,疲れる,つかれる
38,散歩する,さんぽする
39,怖い,こわい
40,赤い,あかい
41,痛い,いたい
42,上手,じょうず
43,下手,へた
44,苦手,にがて
45,時々,ときどき
46,よく,よく
47,たまに,たまに
48,また,また
49,どうして,どうして
50,だから／ですから,だから
51,うーん,うーん
52,結構です,けっこうです
53,気に入ります,きにいります
54, など,など
