序号,日本語,平假名注音,中文,英文
1,本,ほん,书,book
2,家族,かぞく,家庭,family
3,かばん,かばん,包,bag
4,母,はは,母亲,mother
5,ノート,ノート,笔记本,notebook
6,お母さん,おかあさん,妈妈,mom
7,鉛筆,えんぴつ,铅笔,pencil
8,日本語,にほんご,日语,Japanese language
9,傘,かさ,雨伞,umbrella
10,中国語,ちゅうごくご,汉语,Chinese language
11,靴,くつ,鞋,shoes
12,これ,これ,这个,this
13,新聞,しんぶん,报纸,newspaper
14,それ,それ,那个,that
15,雑誌,ざっし,杂志,magazine
16,あれ,あれ,那个,that over there
17,辞書,じしょ,词典,dictionary
18,どれ,どれ,哪个,which one
19,カメラ,カメラ,相机,camera
20,何,なん,什么,what
21,テレビ,テレビ,电视,television
22,誰,だれ,谁,who
23,パソコン,パソコン,电脑,computer
24,どなた,どなた,哪位,who (polite)
25,ラジオ,ラジオ,收音机,radio
26,この,この,这个,this (modifier)
27,電話,でんわ,电话,telephone
28,その,その,那个,that (modifier)
29,机,つくえ,桌子,desk
30,あの,あの,那个,that (modifier)
31,椅子,いす,椅子,chair
32,どの,どの,哪个,which (modifier)
33,かぎ,かぎ,钥匙,key
34,えっ,えっ,啊,eh?
35,時計,とけい,时钟,clock/watch
36,わあ,わあ,哇哦,wow
37,手帳,てちょう,笔记本,notebook/agenda
38,ええ,ええ,是的,yes
39,写真,しゃしん,照片,photograph
40,長島,ながしま,长岛,Nagashima (surname)
41,車,くるま,车,car
42,日本,にほん,日本,Japan
43,自転車,じてんしゃ,自行车,bicycle
44,スワトウ,スワトウ,汕头,Swatow (place)
45,お土産,おみやげ,礼物,souvenir
46,ロンドン,ロンドン,伦敦,London
47,名産品,めいさんひん,特产,specialty/local product
48,ありがとうございます,ありがとうございます,非常感谢,Thank you very much
49,シルク,シルク,丝绸,silk
50,おいくつ,おいくつ,几岁,how old (polite)
51,ハンカチ,ハンカチ,手帕,handkerchief
52,何歳,なんさい,几岁,how old
