序号,日本語,平假名注音,中文,英文
1,週末,しゅうまつ,周末,weekend
2,スケート,スケート,滑冰,skating
3,味,あじ,味道，滋味,taste, flavor
4,毎回,まいかい,每次，每回,every time
5,通勤,つうきん,通勤,commuting
6,船,ふね,船，小船,boat
7,生地,きじ,面料，布料,fabric, material
8,閉店時間,へいてんじかん,关店时间，闭店时间,closing time
9,卒業式,そつぎょうしき,毕业典礼,graduation ceremony
10,違う,ちがう,不同，不一样，错误,different, wrong
11,込む,こむ,拥挤，挤满，包含,crowded, included
12,決まる,きまる,决定，定，解决,decide, settle
13,知らせる,しらせる,通知，告知，通告,inform, notify
14,確かめる,たしかめる,确认，核实，验证,confirm, verify
15,濃い,こい,浓，浓厚，浓烈，深，深厚,thick, strong (flavor)
16,薄い,うすい,薄，淡，稀薄，稀,thin, weak (flavor)
17,早い,はやい,早，迅速，快速，速,early, fast
18,遅い,おそい,慢，迟缓，迟,late, slow
19,たぶん,たぶん,也许，或许，大概,probably, perhaps
20,東京タワー,とうきょうタワー,东京塔,Tokyo Tower
21,によって／によります,によって／によります,依据，根据，按照,according to, depending on
