序号,日本語,平假名注音,中文,英文
1,ハイキング,ハイキング,远足，徒步旅行,hiking
2,お別れ,おわかれ,告别，分别,farewell, parting
3,話,はなし,谈话，话语，故事,conversation, story
4,見送り,みおくり,送行，送别,seeing off
5,間,あいだ,期间，间隔，空隙,while, interval
6,法律,ほうりつ,法律，法则,law
7,思う,おもう,认为，想，思考,think, feel
8,言う,いう,说，言，发表言论,say, speak
9,探す,さがす,寻找，找，探讨,search for, look for
10,笑う,わらう,笑，笑笑,laugh, smile
11,やめる,やめる,停止，戒掉，辞职,quit, stop
12,決める,きめる,决定，定下，解决,decide, determine
13,寝坊する,ねぼうする,睡懒觉,oversleep
14,外出する,がいしゅつする,外出，出门,go out
15,研究する,けんきゅうする,研究，研究学问,research, study
16,おかしい,おかしい,可笑しい，奇怪，不正常,strange, funny
17,いっぱい,いっぱい,满，充满，足够，一杯,full, a lot
18,すごい,すごい,厉害，了不起，非常,amazing, awesome
19,とうとう,とうとう,终于，终究，结果,finally, at last
20,必ず,かならず,一定，必定，必须,necessarily, without fail
21,絶対に,ぜったいに,绝对，一定，无论如何,absolutely, definitely
22,馬,ば,马，马匹,horse
23,お世話になりました,おせわになりました,承蒙关照，感谢您的照顾,thank you for your support
24,よろしくお伝えください,よろしく おつたえください,请代我问候，请代我致意,please convey my regards
25,お元気で,おげんきで,祝您健康，保重,take care, stay well
26,お気をつけで,おきをつけて,请小心，注意安全,take care, be careful
27,さようなら,さようなら,再见，告别，拜拜,goodbye, farewell
28,どうやって,どうやって,怎么，如何，通过什么方式,how, by what means
29,役に立つ,やくにたつ,有用，对…有帮助，起作用,be useful, be helpful
30,おなかがいっぱいです,おなかがいっぱい,吃饱了，饱满的肚子,I'm full
31,について,について,关于，有关，至于,about, concerning
