序号,日本語,平假名注音,中文,英文
1,部屋,へや,房间,room
2,庭,にわ,庭院,garden
3,家,いえ,家,house
4,居間,いま,客厅,living room
5,冷蔵庫,れいぞうこ,冰箱,refrigerator
6,壁,かべ,墙壁,wall
7,スイッチ,スイッチ,开关,switch
8,本棚,ほんだな,书架,bookshelf
9,ベッド,ベッド,床,bed
10,猫,ねこ,猫,cat
11,犬,いぬ,狗,dog
12,箱,はこ,箱,box
13,眼鏡,めがね,眼镜,glasses
14,ビデオ,ビデオ,录像机,videocassette recorder
15,サッカーボール,サッカーボール,足球,soccer ball
16,ビール,ビール,啤酒,beer
17,ウイスキー,ウイスキー,威士忌,whiskey
18,子供,こども,孩子,child
19,兄弟,きょうだい,兄弟姐妹,siblings
20,両親,りょうしん,父母,parents
21,妹,いもうと,妹,sister
22,男,おとこ,男人,man
23,女,おんな,女人,woman
24,生徒,せいと,学生,student
25,上,うえ,上面,top
26,外,そと,外面,outside
27,中,なか,里面,inside
28,下,した,下面,bottom
29,後ろ,うしろ,后面,behind
30,近く,ちかく,附近,nearby
31,場所,ばしょ,地方,place
32,教室,きょうしつ,教室,classroom
33,会議室,かいぎしつ,会议室,conference room
34,図書室,としょしつ,图书馆,library
35,公園,こうえん,公园,park
36,花屋,はなや,花店,flower shop
37,売店,ばいてん,小卖部,shop
38,駅,えき,车站,station
39,地下鉄,ちかてつ,地铁,subway
40,木,き,树,tree
41,一人暮らし,ひとり暮らし,独居,living alone
42,あります,あります,有,there is/are
43,います,います,有,there is/are (living things)
44,ええと,ええと,嗯,um
45,横浜,よこはま,横滨,Yokohama
46,名古屋,なごや,名古屋,Nagoya
47,大阪,おおさか,大阪,Osaka
48,ＪＲ,ジェーアール,JR,Japan Railways
49,ご～,ご～,～先生,Mr./Ms. ~
