index,kanji,hiragana
1,あ,ア
2,い,イ
3,う,ウ
4,え,エ
5,お,オ
6,か,カ
7,き,キ
8,く,ク
9,け,ケ
10,こ,コ
11,さ,サ
12,し,シ
13,す,ス
14,せ,セ
15,そ,ソ
16,た,タ
17,ち,チ
18,つ,ツ
19,て,テ
20,と,ト
21,な,ナ
22,に,ニ
23,ぬ,ヌ
24,ね,ネ
25,の,ノ
26,は,ハ
27,ひ,ヒ
28,ふ,フ
29,へ,ヘ
30,ほ,ホ
31,ま,マ
32,み,ミ
33,む,ム
34,め,メ
35,も,モ
36,や,ヤ
37,ゆ,ユ
38,よ,ヨ
39,ら,ラ
40,り,リ
41,る,ル
42,れ,レ
43,ろ,ロ
44,わ,ワ
45,を,ヲ
46,ん,ン
47,が,ガ
48,ぎ,ギ
49,ぐ,グ
50,げ,ゲ
51,ご,ゴ
52,ざ,ザ
53,じ,ジ
54,ず,ズ
55,ぜ,ゼ
56,ぞ,ゾ
57,だ,ダ
58,ぢ,ヂ
59,づ,ヅ
60,で,デ
61,ど,ド
62,ば,バ
63,び,ビ
64,ぶ,ブ
65,べ,ベ
66,ぼ,ボ
67,ぱ,パ
68,ぴ,ピ
69,ぷ,プ
70,ぺ,ペ
71,ぽ,ポ

