index,kanji,hiragana
1,プレゼント,プレゼント
2,チケット,チケット
3,パフレット,パンフレット
4,記念品,きねんひん
5,スゲジュール表,スゲジュールひょう
6,写真集,しゃしんしゅう
7,花,はな
8,お金,おかね
9,ボールペン,ボールペン
10,宿題,しゅくだい
11,航空便,こうくうびん
12,速達,そくたつ
13,ファックス,ファックス
14,メール,メール
15,電話番号,でんわばんごう
16,住所,じゅうしょ
17,名前,なまえ
18,件,けん
19,新聞紙,しんぶんし
20,紙飛行機,かみひこうき
21,チョコレット,チョコレット
22,アイスクリーム,アイスクリーム
23,小麦粉,こむぎこ
24,橋,はし
25,スプーン,スプーン
26,お兄さん,おにいさん
27,韓国語,かんこくご
28,夕方,ゆうがた
29,昼休み,ひるやすみ
30,もらう,もらう
31,会う,あう
32,送る,おくる
33,作る,つくる
34,太る,ふとる
35,出す,だす
36,届く,とどく
37,かく,かく
38,貸す,かす
39,習う,ならう
40,あげる,あげる
41,かける,かける
42,借りる,かりる
43,教える,おしえる
44,もう,もう
45,さっき,さっき
46,たっだ今,たったいま
47,もう一度,もういちど
48,前に,まえに
49,陳,ちん
50,どうですか,どうですか。
51,お願いします,おねがいします。
52,分かりました,わかりました。
53,よかった,よかったです。
54,様,さま
