index,kanji,hiragana,
1,料理,りょうり,
2,四川料理,しせんりょうり,
3,スープ,（soup）,スープ
4,北京ダック,ぺきんダック,
5,食べ物,たべもの,
6,すき焼き,すきやき,
7,温泉,おんせん,
8,お湯,おゆ,
9,水,みず,
10,浴衣,ゆかた,
11,眺め,ながめ,
12,薬,くすり,
13,天気,てんき,
14,紙,かみ,
15,ニュース (news),ニュース,
16,女性,じょせい,
17,お客様,おきゃくさま,
18,グラス,グラス,
19,歌舞伎,かぶき,
20,気持ち,きもち,
21,たくさん,たくさん,
22,辛い,からい,
23,甘い,あまい,
24,塩辛い,しおからい,
25,酸っぱい,すっぱい,
26,苦い,にがい,
27,おいしい,おいしい,
28,まずい,まずい,
29,熱い,あつい,
30,冷たい,つめたい,
31,楽しい,たのしい,
32,面白い,おもしろい,
33,つまらない,つまらない,
34,広い,ひろい,
35,狭い,せまい,
36,大きい,おおきい,
37,小さい,ちいさい,
38,忙しい,いそがしい,
39,いい,いい,
40,悪い,わるい,
41,すばらしい,すばらしい,
42,遠い,とおい,
43,近い,ちかい,
44,高い,たかい,
45,安い,やすい,
46,寒い,さむい,
47,新しい,あたらしい,
48,古い,ふるい,
49,難しい,むずかしい,
50,易しい,やさしい,
51,多い,おおい,
52,少ない,すくない,
53,可愛い,かわいい,
54,本当に,ほんとうに,
55,あまり,あまり,
56,とても／大変,とても／たいへん,
57,すこし／ちょっと,すこし／ちょっと,
58,全然,ぜんぜん,
59,ちょうど,ちょうど,
60,天安門,てんあんもん,
61,万里の長城,ばんりのちょうじょう,
62,気持ちがいいです。,きもちがいい,
63,用,よう,
