序号,日本語,平假名注音,中文,英文
1,起きます, おきます,,Wake up
2,窓を開けます, まどをあけます,,Open the window
3,顔を洗います, かおをあらいます,,Wash your face
4,歯を磨きます, はをみがきます,,Brush your teeth
5,髪をとかします, かみをとかします,,Comb your hair
6,服を着ます, ふくをきます,,Get dressed
7,お茶を入れます, おちゃをいれます,,Make tea
8,お茶を飲みます, おちゃをのみます,,Drink tea
9,ごはんを食べます, ごはんをたべます,,Eat rice / Eat a meal
10,タバコを吸います, たばこをすいます,,Smoke a cigarette
11,新聞を読みます, しんぶんをよみます,,Read the newspaper
12,靴を履きます, くつをはきます,,Put on shoes
13,ドアを閉めます, どあをしめます,,Close the door
14,鍵をかけます, かぎをかけます,,Lock the door
15,ゴミを出します, ごみをだします,,Take out the trash
16,会社へ行きます, かいしゃへいきます,,Go to work
17,切符を買います, きっぷをかいます,,Buy a ticket
18,雑誌を読みます, ざっしをよみます,,Read a magazine
19,音楽を聞きます, おんがくをききます,,Listen to music
20,メールを出します, めーるをだします,,Send an email
21,書類を読みます, しょるいをよみます,,Read documents
22,手紙を書きます, てがみをかきます,,Write a letter
23,切手を貼ります, きってをはります,,Put on a stamp
24,手紙を出します, てがみをだします,,Send a letter
25,電話をかけます, でんわをかけます,,Make a phone call
26,ファックスを送ります, ふぁっくすをおくります,,Send a fax
27,資料を作ります, しりょうをつくります,,Prepare documents
28,お金を払います, おかねをはらいます,,Pay money / Pay
29,車を洗います, くるまをあらいます,,Wash the car
30,写真を撮ります, しゃしんをとります,,Take a photo
31,家へ帰ります, いえへかえります,,Go home
32,鍵を開けます, かぎをあけます,,Unlock the door
33,ドアを開けます, どあをあけます,,Open the door
34,靴を脱ぎます, くつをぬぎます,,Take off shoes
35,服を脱ぎます, ふくをぬぎます,,Take off clothes
36,電気をつけます, でんきをつけます,,Turn on the lights
37,テレビをつけます, てれびをつけます,,Turn on the TV
38,テレビを見ます, てれびをみます,,Watch TV
39,料理を作ります, りょうりをつくります,,Cook (prepare food)
40,シャワーを浴びます, しゃわーをあびます,,Take a shower
41,体を洗います, からだをあらいます,,Wash your body
42,頭を洗います, あたまをあらいます,,Wash your hair
43,窓を閉めます, まどをしめます,,Close the window
44,電気を消します, でんきをけします,,Turn off the lights
45,寝ます, ねます,,Go to sleep
