序号,日本語,平假名注音,中文,英文
1,晴れ,はれ,晴朗的,Sunny (weather)
2,大事,だいじ,重要的,Important
3,欲しい,ほしい,想要的,Desirable
4,便利,べんり,便利的,Convenient
5,大切,たいせつ,珍贵的,Precious
6,同じ,おなじ,相同的,Same
7,綺麗,きれい,美丽的,Beautiful
8,有名,ゆうめい,有名的,Famous
9,にぎやか,にぎやか,热闹的,Lively
10,静か,しずか,安静的,Quiet
11,親切,しんせつ,亲切的,Kind
12,好き,すき,喜欢的,Likeable
13,不便,ふべん,不方便的,Inconvenient
14,簡単,かんたん,简单的,Simple
15,元気,げんき,元气的,Energetic
16,ハンサム,ハンサム,英俊的,Handsome
17,色々,いろいろ,各种各样的,Various
18,上手,じょうず,擅长的,Skilled (good at)
19,下手,へた,不擅长的,Inexperienced (poor at)
20,苦手,にがて,不擅长的,Weak (poor at)
21,大好き,だいすき,非常喜欢的,Love (very much)
22,ユニーク,ユニーク,独特的,Unique
23,安全,あんぜん,安全的,Safe
24,派手,はで,花哨的,Flashy
25,地味,じみ,朴素的,Plain
26,厳重,げんじゅう,严重的,Strict
27,真面目,まじめ,认真的,Serious (diligent)
28,複雑,ふくざつ,复杂的,Complex
29,豊か,ゆたか,丰富的,Abundant
30,すてき,すてき,美妙的,Lovely
31,得意,とくい,得意的,Proud (skilled)
32,新鮮,しんせん,新鲜的,Fresh
33,乱暴,らんぼう,粗暴的,Rough (violent)
34,失礼,しつれい,失礼的,Impolite
35,危険,きけん,危险的,Dangerous
36,楽しみ,たのしみ,期待的,Enjoyable (looking forward to)
37,特別,とくべつ,特别的,Special
38,自由,じゆう,自由的,Free
39,丁寧,ていねい,礼貌的,Polite
40,楽,らく,轻松的,Enjoyable
41,残念,ざんねん,遗憾的,Regrettable
42,優秀,ゆうしゅう,优秀的,Excellent
43,最高 ,さいこう,最好的,Best
44,へん,へん,奇怪的,Strange
45,完全,かんぜん,完全的,Complete
46,必要,ひつよう,必要的,Necessary
47,ほんと,ほんと,真的,TRUE
48,ぜいたく,ぜいたく,奢侈的,Luxurious
49,大幅,おおはば,大幅的,Significant (drastic)
50,大量,たいりょう,大量的,Large quantity
51,当然,とうぜん,当然的,Natural (of course)
52,丈夫,じょうぶ,坚强的,Strong (sturdy)
53,確か,たしか,确实的,Sure (certain)
54,重要,じゅうよう,重要的,Important
55,具体的,ぐたいてき,具体的,Concrete (specific)
56,単純,たんじゅん,简单的,Simple
57,理想的,りそうてき,理想的,Ideal
58,斬新,ざんしん,创新的,Innovative
59,好調,こうちょう,良好的,Good condition (doing well)
60,豪華,ごうか,豪华的,Luxurious (gorgeous)
61,控えめ,ひかえめ,谦虚的,Modest (reserved)
62,好評,こうひょう,好评的,Popular (well-received)
63,急速,きゅうそく,急速的,Rapid (swift)
64,手軽,てがる,方便的,Handy (easy)
65,さわやか,さわやか,清爽的,Refreshing
66,貴重,きちょう,宝贵的,Valuable (precious)
67,不思議,ふしぎ,神秘的,Mysterious
