序号,日本語,平假名注音,中文,英文
1,天気,てんき,天气,Weather
2,晴れ,はれ,晴天,Sunny
3,曇り,くもり,多云,Cloudy
4,雨,あめ,雨,Rain
5,雪,ゆき,雪,Snow
6,風,かぜ,风,Wind
7,雷,かみなり,雷,Thunder
8,霧,きり,雾,Fog
9,台風,たいふう,台风,Typhoon
10,雷雨,らいう,雷阵雨,Thunderstorm
11,晴天,せいてん,晴朗的天气,Clear Weather
12,豪雨,ごうう,暴雨,Heavy Rain
13,霜,しも,霜,Frost
14,霰,あられ,小冰雹,Small Hail
15,気候,きこう,气候,Climate
16,温暖,おんだん,温暖,Warm
17,寒冷,かんれい,寒冷,Cold
18,湿度,しつど,湿度,Humidity
19,乾燥,かんそう,干燥,Dryness
20,湿気,しっけ,湿气,Dampness
21,四季,しき,四季,Four Seasons
22,季節,きせつ,季节,Season
23,熱帯,ねったい,热带,Tropical
24,温帯,おんたい,温带,Temperate
25,寒帯,かんたい,寒带,Polar
26,亜熱帯,あねったい,亚热带,Subtropical
27,乾燥地帯,かんそうちたい,干旱地区,Desert
28,湿地,しっち,湿地,Wetland
29,気圧,きあつ,气压,Air Pressure
