序号,日本語,平假名注音,中文,英文
1,北京,べいきん,北京,Beijing
2,上海,しゃんはい,上海,Shanghai
3,广州,こうしゅう,广州,Guangzhou
4,深圳,しんせん,深圳,Shenzhen
5,成都,じぇんど,成都,Chengdu
6,杭州,こうしゅう,杭州,Hangzhou
7,南京,なんきん,南京,Nanjing
8,武汉,ぶかん,武汉,Wuhan
9,重庆,ちょうきん,重庆,Chongqing
10,天津,てんしん,天津,Tianjin
11,青岛,ちんとう,青岛,Qingdao
12,哈尔滨,はるびん,哈尔滨,Harbin
13,厦门,あもい,厦门,Xiamen
14,苏州,そしゅう,苏州,Suzhou
15,西安,せいあん,西安,Xi'an
16,济南,きなん,济南,Jinan
17,南昌,なんしょう,南昌,Nanchang
18,温州,うぇんしゅう,温州,Wenzhou
19,合肥,ごうひ,合肥,Hefei
20,昆明,こんめい,昆明,Kunming
21,郑州,ていしゅう,郑州,Zhengzhou
22,贵阳,けいよう,贵阳,Guiyang
23,长沙,ちょうしゃ,长沙,Changsha
24,绍兴,しょうこう,绍兴,Shaoxing
25,台北,たいほく,台北,Taipei
