序号,日本語,平假名注音,中文,英文
1,私の母は花が好きです。,わたしのははははながすきです。,我妈妈喜欢花。,My mother likes flowers.
2,彼の父は音楽が楽しいです。,かれのちちはおんがくがたのしいです。,他爸爸觉得音乐很愉快。,His father finds music enjoyable.
3,彼女は料理が美味しいです。,かのじょはりょうりがおいしいです。,她觉得料理很美味。,She finds the food delicious.
4,私の友達は映画が面白いです。,わたしのともだちはえいががおもしろいです。,我的朋友觉得电影很有趣。,My friend finds the movie interesting.
5,彼の兄はスポーツが楽しいです。,かれのおにいさんはすぽーつがたのしいです。,他哥哥觉得运动很有趣。,His older brother finds sports fun.
6,私の妹は歌が好きです。,わたしのいもうとはうたがすきです。,我妹妹喜欢唱歌。,My younger sister likes singing.
7,彼は犬がかわいいです。,かれはいぬがかわいいです。,他觉得狗很可爱。,He finds dogs cute.
8,彼女の家族は旅行が楽しいです。,かのじょのかぞくはりょこうがたのしいです。,她的家人觉得旅行很愉快。,Her family finds traveling enjoyable.
9,私の子供は絵本が面白いです。,わたしのこどもはえほんがおもしろいです。,我的孩子觉得绘本很有趣。,My child finds picture books interesting.
10,彼女の友達は笑い話が楽しいです。,かのじょのともだちはわらいばなしがたのしいです。,她的朋友觉得笑话很有趣。,Her friend finds funny stories enjoyable.

