序号,日本語,平假名注音,中文,英文
1,今日は忙しいから、行けません。,きょうはいそがしいから、いけません。,今天很忙，所以不能去。,I’m busy today, so I can’t go.
2,彼は日本語が上手だから、仕事を手伝ってくれます。,かれはにほんごがじょうずだから、しごとをてつだってくれます。,他日语很好，所以会帮忙工作。,He’s good at Japanese, so he helps with the work.
3,寒いから、コートを着てください。,さむいから、こーとをきてください。,因为很冷，请穿上外套。,It’s cold, so please wear a coat.
4,お腹が空いたから、何か食べましょう。,おなかがすいたから、なにかたべましょう。,因为饿了，我们吃点东西吧。,I’m hungry, so let’s eat something.
5,電車が遅れているから、早めに出発しましょう。,でんしゃがおくれているから、はやめにしゅっぱつしましょう。,因为电车晚点了，我们早点出发吧。,Since the train is delayed, let’s leave early.
6,雨が降っているから、傘を持って行きましょう。,あめがふっているから、かさをもっていきましょう。,因为下雨了，我们带上伞吧。,It’s raining, so let’s take an umbrella.
7,今日は休みだから、家でリラックスします。,きょうはやすみだから、いえでりらっくすします。,因为今天休息，所以在家放松一下。,It’s a day off today, so I’ll relax at home.
8,時間がないから、急いでください。,じかんがないから、いそいでください。,因为没时间了，请快点。,There is no time, so please hurry.
9,この店は安いから、よく来ます。,このみせはやすいから、よくきます。,这家店很便宜，所以我常来。,This store is cheap, so I come often.
10,彼女は日本に住んでいるから、日本語が上手です。,かのじょはにほんにすんでいるから、にほんごがじょうずです。,她住在日本，所以日语很好。,She lives in Japan, so she is good at Japanese.
