序号,日本語,平假名注音,中文,英文
1,一着,いっちゃく,一件,one (article of clothing)
2,二着,にちゃく,二件,two (articles of clothing)
3,三着,さんちゃく,三件,three (articles of clothing)
4,四着,よんちゃく,四件,four (articles of clothing)
5,五着,ごちゃく,五件,five (articles of clothing)
6,六着,ろくちゃく,六件,six (articles of clothing)
7,七着,ななちゃく,七件,seven (articles of clothing)
8,八着,はっちゃく,八件,eight (articles of clothing)
9,九着,きゅうちゃく,九件,nine (articles of clothing)
10,十着,じゅっちゃく,十件,ten (articles of clothing)
11,一着の服,いっちゃくのふく,一件衣服,One piece of clothing
12,三着のシャツ,さんちゃくのシャツ,三件衬衫,Three shirts
13,五着のパンツ,ごちゃくのパンツ,五条裤子,Five pairs of pants
14,十着の靴,じゅっちゃくのくつ,十双鞋子,Ten pairs of shoes
15,百着の帽子,ひゃっちゃくのぼうし,百顶帽子,Hundred hats
