序号,日本語,平假名注音,中文,英文
1,一歳,いっさい,一岁,one year (age)
2,二歳,にさい,二岁,two years (age)
3,三歳,さんさい,三岁,three years (age)
4,四歳,よんさい,四岁,four years (age)
1,五歳,ごさい,五岁,five years (age)
6,六歳,ろくさい,六岁,six years (age)
7,七歳,ななさい,七岁,seven years (age)
8,八歳,はっさい,八岁,eight years (age)
9,九歳,きゅうさい,九岁,nine years (age)
10,十歳,じゅっさい,十岁,ten years (age)
11,一歳の赤ちゃん,いっさいのあかちゃん,一岁的婴儿,A one-year-old baby
12,三歳の子供,さんさいのこども,三岁的孩子,A three-year-old child
13,五歳の児童,ごさいのじどう,五岁的儿童,A five-year-old child
14,十歳の少年,とおさいのしょうねん,十岁的少年,A ten-year-old boy
15,百歳の老人,ひゃくさいのろうじん,百岁的老人,A hundred-year-old person
