序号,日本語,平假名注音,中文,英文
1,一枚,いちまい,一张,one (flat object)
2,二枚,にまい,两张,two (flat objects)
3,三枚,さんまい,三张,three (flat objects)
4,四枚,よんまい,四张,four (flat objects)
5,五枚,ごまい,五张,five (flat objects)
6,六枚,ろくまい,六张,six (flat objects)
7,七枚,ななまい,七张,seven (flat objects)
8,八枚,はちまい,八张,eight (flat objects)
9,九枚,きゅうまい,九张,nine (flat objects)
10,十枚,じゅうまい,十张,ten (flat objects)
11,一枚の切手,いちまいのきって,一张邮票,A stamp
12,三枚のコイン,さんまいのこいん,三枚硬币,Three coins
13,五枚の写真,ごまいのしゃしん,五张照片,Five photographs
14,十枚のシール,じゅうまいのしーる,十张贴纸,Ten stickers
15,百枚の紙,ひゃくまいのかみ,百张纸,A hundred sheets of paper
