序号,日本語,平假名注音,中文,英文
1,一本,いっぽん,一根/一本,one (long cylindrical object)
2,二本,にほん,两根,two(longcylindricalobjects)
3,三本,さんぼん,三根,three(longcylindricalobjects)
4,四本,よんほん,四根,four(longcylindricalobjects)
5,五本,ごほん,五根,five(longcylindricalobjects)
6,六本,ろっぽん,六根,six(longcylindricalobjects)
7,七本,しちほん,七根,seven(longcylindricalobjects)
8,八本,はっぽん,八根,eight(longcylindricalobjects)
9,九本,きゅうほん,九根,nine(longcylindricalobjects)
10,十本,じゅっぽん,十根,ten(longcylindricalobjects)
11,一本の本,いっぽんのほん,一本书,A book
12,三本の鉛筆,さんぼんのえんぴつ,三支铅笔,Three pencils
13,五本のペン,ごほんのぺん,五支钢笔,Five pens
14,十本のCD,じゅっぽんのしーでぃー,十张CD,Ten CDs
15,百本のマンガ,ひゃくほんのまんが,百本漫画,A hundred manga
