序号,日本語,平假名注音,中文,英文
1,一杯,いっぱい,一杯,one (cup/glass)
2,二杯,にはい,两杯,two (cups/glasses)
3,三杯,さんばい,三杯,three (cups/glasses)
4,四杯,よんはい,四杯,four (cups/glasses)
5,五杯,ごはい,五杯,five (cups/glasses)
6,六杯,ろっぱい,六杯,six (cups/glasses)
7,七杯,しちはい,七杯,seven (cups/glasses)
8,八杯,はっぱい,八杯,eight (cups/glasses)
9,九杯,きゅうはい,九杯,nine (cups/glasses)
10,十杯,じゅっぱい,十杯,ten (cups/glasses)
11,一杯のコーヒー,いっぱいのこーひー,一杯咖啡,A cup of coffee
12,三杯のお茶,さんはいのおちゃ,三杯茶,Three cups of tea
13,五杯のビール,ごはいのびーる,五杯啤酒,Five glasses of beer
14,十杯のジュース,じゅっぱいのじゅーす,十杯果汁,Ten glasses of juice
15,百杯の水,ひゃっぱいのみず,百杯水,A hundred glasses of water
