序号,日本語,平假名注音,中文,英文
1,一匹,いっぴき,一只,one (small animal)
2,二匹,にひき,两只,two (small animals)
3,三匹,さんびき,三只,three (small animals)
4,四匹,よんひき,四只,four (small animals)
5,五匹,ごひき,五只,five (small animals)
6,六匹,ろっぴき,六只,six (small animals)
7,七匹,ななひき,七只,seven (small animals)
8,八匹,はっぴき,八只,eight (small animals)
9,九匹,きゅうひき,九只,nine (small animals)
10,十匹,じゅっぴき,十只,ten (small animals)
11,一匹の猫,いっぴきのねこ,一只猫,A cat
12,三匹の犬,さんびきのいぬ,三只狗,Three dogs
13,五匹の馬,ごひきのうま,五匹马,Five horses
14,十匹の羊,じゅっぴきのひつじ,十只羊,Ten sheep
15,百匹の虫,ひゃっぴきのむし,百只虫,A hundred insects
