序号,日本語,平假名注音,中文,英文
1,一羽,いちわ,一只/一羽,one (bird/feathered animal)
2,二羽,にわ,两只,two(birds/featheredanimals)
3,三羽,さんわ,三只,three(birds/featheredanimals)
4,四羽,よんわ,四只,four(birds/featheredanimals)
5,五羽,ごわ,五只,five(birds/featheredanimals)
6,六羽,ろくわ,六只,six(birds/featheredanimals)
7,七羽,しちわ,七只,seven(birds/featheredanimals)
8,八羽,はちわ,八只,eight(birds/featheredanimals)
9,九羽,きゅうわ,九只,nine(birds/featheredanimals)
10,十羽,じゅうわ,十只,ten(birds/featheredanimals)
11,一羽の鳥,いちわのとり,一只鸟,A bird
12,三羽の鶏,さんわのにわとり,三只鸡,Three chickens
13,五羽の鴨,ごわのかも,五只鸭子,Five ducks
14,十羽の鳥類,じゅうわのちょうるい,十只鸟类,Ten birds
15,百羽の羽,ひゃくわのはね,百片羽毛,A hundred feathers
