序号,日本語,平假名注音,中文,英文
1,一皿,いちさら,一盘/一碟,one plate/dish
2,二皿,にさら,两盘/两碟,two plates/dishes
3,三皿,さんさら,三盘/三碟,three plates/dishes
4,四皿,よんさら,四盘/四碟,four plates/dishes
5,五皿,ごさら,五盘/五碟,five plates/dishes
6,六皿,ろくさら,六盘/六碟,six plates/dishes
7,七皿,しちさら,七盘/七碟,seven plates/dishes
8,八皿,はっさら,八盘/八碟,eight plates/dishes
9,九皿,きゅうさら,九盘/九碟,nine plates/dishes
10,十皿,じゅっさら,十盘/十碟,ten plates/dishes
11,一皿の料理,ひとさらのりょうり,一盘菜,A plate of food
12,三皿の寿司,さんさらのすし,三盘寿司,Three plates of sushi
13,五皿のデザート,ごさらのでざーと,五道甜点,Five desserts
14,十皿のサラダ,じゅっさらのさらだ,十份沙拉,Ten plates of salad
15,百皿のおかず,ひゃくさらのおかず,百份小菜,A hundred dishes
