序号,日本語,平假名注音,中文,英文
1,一度,いちど,一次,one time (occurrence)
2,二度,にど,两次,two times (occurrences)
3,三度,さんど,三次,three times (occurrences)
4,四度,よんど,四次,four times (occurrences)
5,五度,ごど,五次,five times (occurrences)
6,六度,ろくど,六次,six times (occurrences)
7,七度,しちど,七次,seven times (occurrences)
8,八度,はちど,八次,eight times (occurrences)
9,九度,きゅうど,九次,nine times (occurrences)
10,十度,じゅうど,十次,ten times (occurrences)
11,一度の旅行,いちどのりょこう,一次旅行,A trip
12,三度の挑戦,さんどのちょうせん,三次挑战,Three challenges
13,五度の会議,ごどのかいぎ,五次会议,Five meetings
14,十度の訪問,じゅうどのほうもん,十次访问,Ten visits
15,百度の経験,ひゃくどのけいけん,百次经历,A hundred experiences
