序号,日本語,平假名注音,中文,英文
1,一キロメートル,いちキロメートル,一公里,one kilometer
2,二キロメートル,にキロメートル,两公里,two kilometers
3,三キロメートル,さんキロメートル,三公里,three kilometers
4,四キロメートル,よんキロメートル,四公里,four kilometers
5,五キロメートル,ごキロメートル,五公里,five kilometers
6,六キロメートル,ろくキロメートル,六公里,six kilometers
7,七キロメートル,しちキロメートル,七公里,seven kilometers
8,八キロメートル,はちキロメートル,八公里,eight kilometers
9,九キロメートル,きゅうキロメートル,九公里,nine kilometers
10,十キロメートル,じゅっキロメートル,十公里,ten kilometers
11,一キロメートルのマラソン,いちきろめーとるのまらそん,一公里马拉松,A 1 kilometer marathon
12,三キロメートルの散歩,さんきろめーとるのさんぽ,三公里散步,A 3 kilometer walk
13,五キロメートルの競走,ごきろめーとるのきょうそう,五公里赛跑,A 5 kilometer race
14,十キロメートルの自転車走行,じゅっきろめーとるのじてんしゃそうこう,十公里自行车骑行,A 10 kilometer bike ride
15,百キロメートルのドライブ,ひゃっきろめーとるのどらいぶ,百公里驾驶,A 100 kilometer drive
