序号,日本語,平假名注音,中文,英文
1,人,ひと　にん　じん,人,person
2,友人,ゆうじん,朋友,friend
3,外国人,がいこくじん,外国人,foreigner
4,社会人,しゃかいじん,社会人,working adult
5,無人島,むじんとう,无人岛,deserted island
6,美人,びじん,美人,beautiful person
7,ご主人,ごしゅじん,丈夫,husband; master (of the house)
8,人口,じんこう,人口,population
9,現代人,げんだいじん,现代人,modern person
10,人形,にんぎょう,人偶,doll
11,人気,にんき,人气,popularity
12,人気があります,にんきがあります,很受欢迎,is popular
13,罪人,ざいにん,罪人,criminal
14,人間,にんげん,人类,human being
15,三人,さんにん,三人,three people
16,男の人,おとこのひと,男人,man
17,女の人,おんなのひと,女人,woman
18,恋人,こいびと,恋人,lover
19,一人,ひとり,一个人,one person
20,二人,ふたり,两个人,two people
21,一人暮らし,ひとりぐらし,独自生活,living alone
22,大人,おとな,成年人,adult
