序号,日本語,平假名注音,中文,英文
1,東,ひがし,东,East
2,西,にし,西,West
3,南,みなみ,南,South
4,北,きた,北,North
5,東西南北,とうざいなんぼく,东西南北,East、West、South、North
6,北西,ほくせい,西北,Northwest
7,北東,ほくとう,东北,Northeast
8,南西,なんせい,西南,Southwest
9,南東,なんとう,东南,Southeast
10,方角,ほうがく,方向,Direction
11,方向,ほうこう,方向,Direction
12,片隅,かすみ,角落,Corner
13,反対側,はんたいがわ,对面,Opposite side
14,向かい側,むかいがわ,对面,Opposite side
15,向こう側,むこうがわ,对面,Other side
16,斜め,ななめ,斜着,Diagonal
17,周囲,しゅうい,周围,Surroundings
18,周り,まわり,周围,Surroundings
19,近所,きんじょ,附近,Neighborhood
20,横,よこ,旁边,Horizontal
21,側,かわ,旁边,Side
22,左側,ひだりがわ,左边,Left side
23,右側,みぎがわ,右边,Right side
24,外側,そとがわ,外侧,Outer side
25,両側,りょうがわ,两侧,Both sides
26,内,うち,内部,Inside
27,内側,うちがわ,内侧,Inner side
28,位置,いち,位置,Position
29,上,うえ,上,Up/Above
30,下,した,下面,Down/Below
31,左右,さゆう,左右,Left and Right
32,左,ひだり,左边,Left
33,右,みぎ,右边,Right
34,前,まえ,前面,Front
35,後ろ,うしろ,后面,Back
36,真ん中,まんなか,正中间,Center
37,角,かど,角落,Corner
38,外,そと,外部,Outside
39,隣,となり,旁边,Neighboring
40,隅,すみ,角落,Corner
41,間,あいだ,期间,Between
42,中,なか,里面,Inside
43,ここ,ここ,这里，这儿,Here
44,こっち,こっち,这边,This side
45,こちら,こちら,这里，这儿,This side
46,そこ,そこ,那里，那儿,There
47,そっち,そっち,那边,That side
48,あそこ,あそこ,那里，那儿,Over there
49,あっち,あっち,那边,That way
50,あちら,あちら,那里，那儿,Over there
51,どこ,どこ,哪里，哪儿,Where
52,どちら,どちら,哪里，哪儿（或2个中的哪一个？）,Which one (of two)?
53,どっち,どっち,哪个,Which one?
