序号,日本語,平假名注音,中文,英文
1,読む,よむ,读、阅读,read
2,歩く,あるく,走、行走,walk
3,歌う,うたう,唱歌、歌唱,sing
4,吸う,すう,吸、呼吸,breathe
5,違う,ちがう,不同,differ
6,死ぬ,しぬ,死,die
7,ごめんなさい,ごめんなさい,对不起,sorry
8,空く,すく,饿,become empty
9,予約,よやく,预订,reservation
10,安心,あんしん,安心,relief
11,結婚,けっこん,结婚,marriage
12,練習,れんしゅう,练习,practice
13,整理,せいり,整理,organize
14,コピー,コピー,复制,copy
15,卒業,そつぎょう,毕业,graduation
16,買い物,かいもの,购物,shopping
17,修理,しゅうり,修理,repair
18,注意,ちゅうい,注意,attention
19,運転,うんてん,驾驶,drive
20,案内,あんない,引导,guide
21,挨拶,あいさつ,问候,greeting
22,訓練,くんれん,训练,training
23,勉強,べんきょう,学习,study
24,散歩,さんぽ,散步,stroll
25,見る,みる,看、观看,see
26,分かる,わかる,理解、明白,understand
27,教える,おしえる,教、教导,teach
28,頑張る,がんばる,努力，奋斗,work hard
29,終わる,おわる,结束,finish
30,食べる,たべる,吃,eat
31,習う,ならう,学习、研修,learn
32,待つ,まつ,等待、期待,wait
33,磨く,みがく,磨、擦拭,polish
34,働く,はたらく,工作,work
35,飲む,のむ,喝,drink
36,脱ぐ,ぬぐ,脱,Take off (clothes)
37,撮る,とる,拍照,take (a photo)
38,行く,いく,去,go
39,打つ,うつ,打,strike
40,入れる,いれる,放入、塞入,put in
41,締める,しめる,系,close
42,苛める,いじめる,虐待欺负,bully
43,来る,くる,来,come
44,入る,いる,进入,enter
45,転ぶ,ころぶ,摔倒,Fall down
46,失くす,なくす,丢失,lose
47,下ろす,おろす,取，卸货,lower
48,暮らす,くらす,生活,live
49,減る,へる,减少,decrease
50,飼う,かう,饲养,keep (a pet)
