序号,日本語,平假名注音,中文,英文,〜て形
51,引っ越す,ひっこす,搬迁,move,引っ越して
52,訳す,やくす,翻译,translate,訳して
53,咲く,さく,开花,bloom,咲いて
54,塗る,ぬる,涂，刷paint,paint,塗って
55,描く,えがく,画，描draw,draw,描いて
56,迷う,まよう,迷路，犹豫,get lost,迷って
57,受け取る,うけとる,接受,receive,受け取って
58,点く,つく,点燃、亮,light,点いて
59,登る,のぼる,爬，登,climb,登って
60,彩る,いろどる,给予色彩；装饰；使丰富多彩,to color; to decorate; to make colorful or vivid,彩って
61,治る,なおる,康复，治愈,heal,治って
62,開く,あく,打开,open,開いて
63,もらう,もらう,拿到，得到,get,もらって
64,持つ,もつ,拥有、持有,hold,持って
65,休む,やすむ,休息、暂停,rest,休んで
66,入る,はいる,进入、进门,enter,入って
67,呼ぶ,よぶ,叫、呼唤,call,呼んで
68,走る,はしる,跑、奔跑,run,走って
69,貼る,はる,贴、粘贴,stick,貼って
70,引く,ひく,拉、拉动,pull,引いて
71,弾く,ひく,弹、演奏,play,弾いて
72,曲がる,まがる,弯曲、转弯,bend,曲がって
73,買う,かう,买、购买,buy,買って
74,払う,はらう,支付、付款,pay,払って
75,返す,かえす,返还、归还（物品）,return,返して
76,言う,いう,说、讲,say,言って
77,押す,おす,推、按压,press,押して
78,笑う,わらう,笑、微笑,laugh,笑って
79,会う,あう,见面、相遇,meet,会って
80,帰る,かえる,回家、返回,return home,帰って
81,置く,おく,放置、摆放,place,置いて
82,泳ぐ,およぐ,游泳、游水,swim,泳いで
83,洗う,あらう,洗、清洗,wash,洗って
84,書く,かく,写、书写,write,書いて
85,聞く,きく,听、听见,listen,聞いて
86,消す,けす,消失、消灭,erase,消して
87,立つ,たつ,站立、起立,stand,立って
88,出す,だす,拿出、放出,take out;serve(a person a meal),出して
89,使う,つかう,使用、运用,use,使って
90,点ける,つける,点亮、开启,light,点けて
91,運ぶ,はこぶ,运输、携带,carry,運んで
92,滑る,すべる,滑，滑动,slip,滑って
93,包む,つつむ,包，裹,wrap,包んで
94,落とす,おとす,掉落，丢失,drop,落として
95,手伝う,てつだう,帮助，协助,help,手伝って
96,泣く,なく,哭泣，流泪,cry,泣いて
97,乾く,かわく,干燥，变干,dry,乾いて
98,勝つ,かつ,胜利、获胜,win,勝って
99,無くす,なくす,丢失、失去,lose,無くして
100,頂く,いただく,受领、承蒙、收到 (自谦),receive,頂いて
101,急ぐ,いそぐ,赶、赶路,hurry,急いで
102,集まる,あつまる,集合,assemble,集まって
103,合う,あう,合适,match,合って
104,直す,なおす,修理,repair,直して
105,履く,はく,穿,wear,履いて
106,話す,はなす,话,talk,話して
107,転落,てんらく,跌落,Fall; tumble,転落して
108,連敗,れんぱい,连败,Consecutive losses,連敗して
109,獲得,かくとく,获得,To acquire; to obtain,獲得して
110,目指す,めざす,目标,To aim for; to aspire,目指して
111,我慢,がまん,忍耐/忍受,To endure / To tolerate,我慢して
112,経験,けいけん,经验，经历,experience,経験して
113,出発,しゅっぱつ,出发,departure,出発して
114,寝坊,ねぼう,睡过头,sleep in,寝坊して
115,感謝,かんしゃ,感谢,thank,感謝して
116,帰国,きこく,回国,return to one's country,帰国して
117,ごちそう,ごちそう,请客,treat,ごちそうして
118,ドライブ,ドライブ,开车、兜风,drive,ドライブして
119,心配,しんぱい,担心,worry,心配して
120,残業,ざんぎょう,加班,overtime,残業して
121,届ける,とどける,送达,deliver,届けて
122,集める,あつめる,集合,collect,集めて
123,つける,つける,点燃、打开,turn on,つけて
124,待ち受ける,まちうける,等待,wait,待ち受けて
125,着る,きる,穿,wear,着て
126,間違える,まちがえる,搞错,make a mistake,間違えて
127,かける,かける,打（电话）,make (a call),かけて
128,見せる,みせる,展示、呈现、出示,show,見せて
129,寝る,ねる,睡觉、睡眠,sleep,寝て
130,乗る,のる,乘坐、搭乘,get on,乗って
131,降りる,おりる,下车、下楼、下山,get off,降りて
132,売る,うる,卖、出售,sell,売って
133,浴びる,あびる,沐浴、洗澡,take a shower,浴びて
134,借りる,かりる,（向别人）借、借用,borrow,借りて
135,答える,こたえる,回答、回复,answer,答えて
136,作る,つくる,制作、创造,make,作って
137,出る,でる,出去、离开,leave,出て
138,怒る,おこる,生气，愤怒,get angry,怒って
139,捨てる,すてる,扔掉，丢弃,discard,捨てて
140,送る,おくる,送出、发送,send,送って
141,止める,とめる,停止、阻止,stop,止めて
142,釣る,つる,钓鱼、钓取,fish,釣って
143,触る,さわる,触摸、接触,touch,触って
144,建てる,たてる,建造、建立,build,建てて
145,注文,ちゅうもん,订，点,order,注文して
146,申請,しんせい,申请,apply,申請して
147,計算,けいさん,计算,calculate,計算して
148,もたらす,もたらす,带来、引起, To bring about、to cause、to result in,もたらして
149,動く,うごく,移动、摇动,move,動いて
150,好転,こうてん,好转，改善,improvement,好転して
151,枯れる,かれる,枯萎,wilt,枯れて
152,数える,かぞえる,数数,count,数えて
153,増える,ふえる,增加、增长,increase,増えて
154,比べる,くらべる,比较，对比,compare,比べて
155,調べる,しらべる,调查、检索,look into,調べて
156,到着,とうちゃく,到达，抵达,arrive,到着して
