序号,日本語,平假名注音,中文,英文
1,甘い,あまい,甜的,Sweet
2,白い,しろい,白的,White
3,汚い,きたない,脏的,Dirty
4,痛い,いたい,疼痛的,Painful
5,旨い,うまい,美味的,Delicious
6,黒い,くろい,黑的,Black
7,薄い,うすい,薄的,Thin
8,煩い,うるさい,吵闹的,Noisy
9,易い,やすい,容易的,Easy
10,深い,ふかい,深的,Deep
11,正しい,ただしい,正确的,Correct
12,苦い,にがい,苦的,Bitter
13,悪い,わるい,坏的,Bad
14,短い,みじかい,短的,Short
15,細い,ほそい,细的,Thin (fine)
16,丸い,まるい,圆的,Round
17,安い,やすい,便宜的,Cheap
18,古い,ふるい,旧的,Old
19,長い,ながい,长的,Long
20,早い,はやい,早的,Fast (early)
21,太い,ふとい,粗的,Thick
22,速い,はやい,快的,Fast (speedy)
23,近い,ちかい,近的,Near
24,詰まらない,つまらない,无聊的,Boring
25,小さい,ちいさい,小的,Small
26,狭い,せまい,窄的,Narrow
27,寒い,さむい,冷的,Cold
28,面白い,おもしろい,有趣的,Interesting
29,重い,おもい,重的,Heavy
30,美味しい,おいしい,美味的,Delicious (tasty)
31,明るい,あかるい,明亮的,Bright
32,危ない,あぶない,危险的,Dangerous
33,すごい,すごい,厉害的,Amazing
34,嫌い,きらい,讨厌的,Dislikeable
35,暑い,あつい,热的,Hot (weather)
36,熱い,あつい,热的,Hot (to touch)
37,蒸し暑い,ひしあつい,闷热的,Oppressively hot
38,高い,たかい,高的,High (tall/expensive)
39,忙しい,いそがしい,忙的,Busy
40,低い,ひくい,低的,Low
41,冷たい,つめたい,冷的,Cold (to touch)
42,不味い,まずい,难吃的,Bad-tasting
43,塩辛い,しおからい,咸的,Salty
44,しょっぱい,しょっぱい,咸的,Salty (flavor)
45,広い,ひろい,宽的,Wide
46,良い,いい,好的,Good
47,難しい,むずかしい,难的,Difficult
48,易しい,やさしい,容易的,Easy (simple)
49,辛い,からい,辣的,Spicy
50,少ない,すくない,少的,Few
51,多い,おおい,多的,Many
52,可愛い,かわいい,可爱的,Cute
53,可笑しい,おかしい,可笑的,Funny (strange)
54,親しい,したしい,亲密的,Close (intimate)
55,寂しい,さびしい,寂寞的,Lonely
56,美しい,うつくしい,美丽的,Beautiful
57,詳しい,くわしい,详细的,Detailed
58,偉い,えらい,伟大的,Great (eminent)
59,おかしい,おかしい,古怪的,Strange (peculiar)
60,ひどい,ひどい,糟糕的,Terrible
61,もったいない,もったいない,浪费的,Wasteful
62,悲しい,かなしい,悲伤的,Sad
63,弱い,よわい,弱的,Weak
64,厳しい,きびしい,严格的,Strict
65,幅広い,はばひろい,宽广的,Wide-ranging
66,柔らかい,やわらかい,柔软的,Soft
67,力強い,ちからづよい,有力的,Vigorous
68,硬い,かたい,硬的,Hard
69,厚い,あつい,厚的,Thick (solid)
70,おとなしい,おとなしい,温顺的,Quiet (docile)
71,恥ずかしい,はずかしい,尴尬的,Embarrassing
72,珍しい,めずらしい,珍贵的,Rare (unusual)
73,ひどい,ひどい,,
74,粗い,あらい,粗糙的,Coarse
75,軽い,かるい,轻的,Light
76,優しい,やさしい,温柔的,Kind (gentle)
77,暗い,くらい,暗的,Dark
