序号,問句,答句
1,今何時？,午後5時41分です。
2,今何時？,17時29分です。
3,今何時？,18時30分です。
4,今何時？,午前7時55分です。
5,今何時？,午後4時40分です。
6,今何時？,13時25分です。
7,今何時？,9時21分です。
8,今何時？,午後6時42分です。
9,今何時？,2時14分です。
10,今何時？,14時26分です。
11,今何時？,午前2時50分です。
12,今何時？,午前5時53分です。
13,今何時？,1時13分です。
14,今何時？,10時10分です。
15,今何時？,12時24分です。
16,今何時？,午前1時49分です。
17,今何時？,午後12時48分です。
18,今何時？,19時31分です。
19,今何時？,16時28分です。
20,今何時？,24時36分です。
21,今何時？,6時18分です。
22,今何時？,23時35分です。
23,今何時？,7時19分です。
24,今何時？,午前4時52分です。
25,今何時？,7時7分です。
26,今何時？,午後2時38分です。
27,今何時？,12時12分です。
28,今何時？,10時22分です。
29,今何時？,4時4分です。
30,今何時？,15時27分です。
31,今何時？,3時3分です。
32,今何時？,9時9分です。
33,今何時？,午前3時51分です。
34,今何時？,午後11時47分です。
35,今何時？,午前8時56分です。
36,今何時？,5時17分です。
37,今何時？,8時20分です。
38,今何時？,11時23分です。
39,今何時？,2時2分です。
40,今何時？,午前6時54分です。
41,今何時？,4時16分です。
42,今何時？,11時11分です。
43,今何時？,午後1時37分です。
44,今何時？,午後7時43分です。
45,今何時？,8時8分です。
46,今何時？,20時32分です。
47,今何時？,午後3時39分です。
48,今何時？,午前12時60分です。
49,今何時？,1時1分です。
50,今何時？,午前11時59分です。
51,今何時？,午前10時58分です。
52,今何時？,3時15分です。
53,今何時？,午後8時44分です。
54,今何時？,22時34分です。
55,今何時？,21時33分です。
56,今何時？,午前9時57分です。
57,今何時？,6時6分です。
58,今何時？,午後9時45分です。
59,今何時？,午後10時46分です。
60,今何時？,5時5分です。
