序号,,問句,答句,問句-平仮名,答句-平仮名,問句-英语,問句-中文,答句-英语,答句-中文
1,甘い,,彼女は甘い笑顔で私を迎えてくれた。,,,,,,
,白い,,彼女は白いドレスを着てパーティーに行った。,,,,,,
,汚い,,彼の部屋は汚い靴で散らかっている。,,,,,,
,痛い,,彼は痛い足を引きずって歩いた。,,,,,,
,旨い,,彼の料理は旨い味で有名です。,,,,,,
,黒い,,彼は黒い犬を飼っています。,,,,,,
,薄い,,彼女は薄い本を一冊持ってきました。,,,,,,
,煩い,,彼の隣人は煩い音で私を困らせます。,,,,,,
,易い,,この問題は易い解決方法があります。,,,,,,
,深い,,,,,,,,
,正しい,,,,,,,,
,苦い,,,,,,,,
,悪い,,,,,,,,
,短い,,,,,,,,
,細い,,,,,,,,
,丸い,,,,,,,,
,安い,,,,,,,,
,古い,,,,,,,,
,長い,,,,,,,,
,早い,,,,,,,,
,太い,,,,,,,,
,速い,,,,,,,,
,近い,,,,,,,,
,詰まらない,,,,,,,,
,小さい,,,,,,,,
,狭い,,,,,,,,
,寒い,,,,,,,,
,面白い,,,,,,,,
,重い,,,,,,,,
,美味しい,,,,,,,,
,明るい,,,,,,,,
,危ない,,,,,,,,
,すごい,,,,,,,,
,嫌い,,,,,,,,
,暑い,,,,,,,,
,熱い,,,,,,,,
,ひし暑い,,,,,,,,
,高い,,,,,,,,
,忙しい,,,,,,,,
,低い,,,,,,,,
,冷たい,,,,,,,,
,不味い,,,,,,,,
,塩辛い,,,,,,,,
,しょっぱい,,,,,,,,
,広い,,,,,,,,
,良い,,,,,,,,
,難しい,,,,,,,,
,易しい,,,,,,,,
,辛い,,,,,,,,
,少ない,,,,,,,,
,多い,,,,,,,,
,可愛い,,,,,,,,
,可笑しい,,,,,,,,
,親しい,,,,,,,,
,寂しい,,,,,,,,
,美しい,,,,,,,,
,詳しい,,,,,,,,
,偉い,,,,,,,,
,おかしい,,,,,,,,
,ひどい,,,,,,,,
,もったいない,,,,,,,,
,悲しい,,,,,,,,
,弱い,,,,,,,,
,厳しい,,,,,,,,
,幅広い,,,,,,,,
,柔らかい,,,,,,,,
,力強い,,,,,,,,
,硬い,,,,,,,,
,厚い,,,,,,,,
,おとなしい,,,,,,,,
,恥ずかしい,,,,,,,,
,珍しい,,,,,,,,
,ひどい,,,,,,,,
,粗い,,,,,,,,
,軽い,,,,,,,,
,優しい,,,,,,,,
,暗い,,,,,,,,
