序号,問句,答句,問句-平仮名,答句-平仮名,問句-英语,問句-中文,答句-英语,答句-中文
1,いつ出発しますか？,明日朝、出発します。,いつしゅっぱつしますか,あしたあさ、しゅっぱつします。,When will you depart?,你什么时候出发？,I will depart tomorrow morning.,我明天早上出发。
2,いつ始めましたか？,三ヶ月前に始めました。,いつはじめましたか,さんかげつまえにはじめました。,When did you start?,你什么时候开始的？,I started three months ago.,我三个月前开始的。
3,いつ食べますか？,毎日朝食べます。,いつたべますか,まいにちあさたべます。,When do you eat?,你什么时候吃？,I eat every morning.,我每天早上吃。
4,いつ来ますか？,今夜、来ます。,いつきますか,こんや、きます。,When will you come?,你什么时候来？,I will come tonight.,我今晚来。
5,いつ学び始めますか？,来週から学び始めます。,いつまびはじめますか,らいしゅうからまびはじめます。,When will you start learning?,你什么时候开始学习？,I will start learning from next week.,我下周开始学习。
6,いつ会いますか？,明日昼食後、会います。,いつあいますか,あしたちゅうしょくご、あいます。,When will you meet?,你什么时候见面？,I will meet after lunch tomorrow.,我明天午餐后见面。
7,いつ終わりますか？,午後5時ごろ終わります。,いつおわりますか,ごごごじごろおわります。,When will it end?,它什么时候结束？,It will end around 5 PM.,它将在下午5点左右结束。
8,いつ行きますか？,週末に行きます。,いついきますか,しゅうまつにいきます。,When will you go?,你什么时候去？,I will go on the weekend.,我周末去。
9,いつ戻りますか？,明後日に戻ります。,いつもどりますか,あさってにもどります。,When will you return?,你什么时候回来？,I will return the day after tomorrow.,我后天回来。
10,いつ買いますか？,来月新しい車を買います。,いつかいますか,らいげつあたらしいくるまをかいます。,When will you buy it?,你什么时候买？,I will buy a new car next month.,我下个月买一辆新车。
