序号,問句,答句,問句-平仮名,答句-平仮名,問句-英语,問句-中文,答句-英语,答句-中文
1,今何時？,午後5時41分です。,いまなんじ？,ごごごじよんじゅういっぷんです。,What time is it now?,现在几点？,It is 5:41 PM.,下午5时41分。
2,今何時？,17時29分です。,いまなんじ？,ごごじゅうしちじにじゅうきゅうふんです。,What time is it now?,现在几点？,It is 5:29 PM.,下午5时29分。
3,今何時？,18時30分です。,いまなんじ？,ごごろくじさんじゅっぷんです。,What time is it now?,现在几点？,It is 6:30 PM.,下午6时30分。
4,今何時？,午前7時55分です。,いまなんじ？,ごぜんしちじごじゅうごふんです。,What time is it now?,现在几点？,It is 7:55 AM.,上午7时55分。
5,今何時？,午後4時40分です。,いまなんじ？,ごごよじよんじゅっぷんです。,What time is it now?,现在几点？,It is 4:40 PM.,下午4时40分。
6,今何時？,13時25分です。,いまなんじ？,ごごいちじにじゅうごふんです。,What time is it now?,现在几点？,It is 1:25 PM.,下午1时25分。
7,今何時？,9時21分です。,いまなんじ？,くじにじゅういっぷんです。,What time is it now?,现在几点？,It is 9:21 AM.,上午9时21分。
8,今何時？,午後6時42分です。,いまなんじ？,ごごろくじよんじゅうにふんです。,What time is it now?,现在几点？,It is 6:42 PM.,下午6时42分。
9,今何時？,2時14分です。,いまなんじ？,にじじゅうよんふんです。,What time is it now?,现在几点？,It is 2:14 AM.,凌晨2时14分。
10,今何時？,14時26分です。,いまなんじ？,ごごにじじゅうろくふんです。,What time is it now?,现在几点？,It is 2:26 PM.,下午2时26分。
11,今何時？,午前2時50分です。,いまなんじ？,ごぜんにじごじゅっぷんです。,What time is it now?,现在几点？,It is 2:50 AM.,凌晨2时50分。
12,今何時？,午前5時53分です。,いまなんじ？,ごぜんごじごじゅうさんぷんです。,What time is it now?,现在几点？,It is 5:53 AM.,凌晨5时53分。
13,今何時？,1時13分です。,いまなんじ？,いちじじゅうさんぷんです。,What time is it now?,现在几点？,It is 1:13 AM.,凌晨1时13分。
14,今何時？,10時10分です。,いまなんじ？,じゅうじじゅっぷんです。,What time is it now?,现在几点？,It is 10:10 AM.,上午10时10分。
15,今何時？,12時24分です。,いまなんじ？,じゅうにじにじゅうよんぷんです。,What time is it now?,现在几点？,It is 12:24 PM.,中午12时24分。
16,今何時？,午前1時49分です。,いまなんじ？,ごぜんいちじよんじゅうきゅうふんです。,What time is it now?,现在几点？,It is 1:49 AM.,凌晨1时49分。
17,今何時？,午後12時48分です。,いまなんじ？,ごごじゅうにじよんじゅうはっぷんです。,What time is it now?,现在几点？,It is 12:48 PM.,下午12时48分。
18,今何時？,19時31分です。,いまなんじ？,ごごじゅうきゅうじさんじゅういっぷんです。,What time is it now?,现在几点？,It is 7:31 PM.,下午7时31分。
19,今何時？,16時28分です。,いまなんじ？,ごごよじにじゅうはっぷんです。,What time is it now?,现在几点？,It is 4:28 PM.,下午4时28分。
20,今何時？,24時36分です。,いまなんじ？,ごごにじゅうよじさんじゅうろっぷんです。,What time is it now?,现在几点？,It is 12:36 AM.,凌晨12时36分。
21,今何時？,6時18分です。,いまなんじ？,ろくじじゅうはっぷんです。,What time is it now?,现在几点？,It is 6:18 AM.,上午6时18分。
22,今何時？,23時35分です。,いまなんじ？,ごごにじゅうさんじゅうごふんです。,What time is it now?,现在几点？,It is 11:35 PM.,晚上11时35分。
23,今何時？,7時19分です。,いまなんじ？,しちじじゅうきゅうふんです。,What time is it now?,现在几点？,It is 7:19 AM.,上午7时19分。
24,今何時？,午前4時52分です。,いまなんじ？,ごぜんよじごじゅうにふんです。,What time is it now?,现在几点？,It is 4:52 AM.,凌晨4时52分。
25,今何時？,7時7分です。,いまなんじ？,しちじしちふんです。,What time is it now?,现在几点？,It is 7:07 AM.,上午7时07分。
26,今何時？,午後2時38分です。,いまなんじ？,ごごにじさんじゅうはっぷんです。,What time is it now?,现在几点？,It is 2:38 PM.,下午2时38分。
27,今何時？,12時12分です。,いまなんじ？,じゅうにじじゅうにふんです。,What time is it now?,现在几点？,It is 12:12 PM.,中午12时12分。
28,今何時？,10時22分です。,いまなんじ？,じゅうじにじゅうにふんです。,What time is it now?,现在几点？,It is 10:22 AM.,上午10时22分。
29,今何時？,4時4分です。,いまなんじ？,よじよんふんです。,What time is it now?,现在几点？,It is 4:04 AM.,凌晨4时04分。
30,今何時？,15時27分です。,いまなんじ？,ごごさんじにじゅうななふんです。,What time is it now?,现在几点？,It is 3:27 PM.,下午3时27分。
31,今何時？,3時3分です。,いまなんじ？,さんじさんぷんです。,What time is it now?,现在几点？,It is 3:03 AM.,凌晨3时03分。
32,今何時？,9時9分です。,いまなんじ？,くじきゅうふんです。,What time is it now?,现在几点？,It is 9:09 AM.,上午9时09分。
33,今何時？,午前3時51分です。,いまなんじ？,ごぜんさんじごじゅういっぷんです。,What time is it now?,现在几点？,It is 3:51 AM.,凌晨3时51分。
34,今何時？,午後11時47分です。,いまなんじ？,ごごじゅういちじよんじゅうななふんです。,What time is it now?,现在几点？,It is 11:47 PM.,晚上11时47分。
35,今何時？,午前8時56分です。,いまなんじ？,ごぜんはちじごじゅうろっぷんです。,What time is it now?,现在几点？,It is 8:56 AM.,上午8时56分。
36,今何時？,5時17分です。,いまなんじ？,ごじじゅうななふんです。,What time is it now?,现在几点？,It is 5:17 AM.,上午5时17分。
37,今何時？,8時20分です。,いまなんじ？,はちじにじゅうぷんです。,What time is it now?,现在几点？,It is 8:20 AM.,上午8时20分。
38,今何時？,11時23分です。,いまなんじ？,じゅういちじにじゅうさんぷんです。,What time is it now?,现在几点？,It is 11:23 AM.,上午11时23分。
39,今何時？,2時2分です。,いまなんじ？,にじにふんです。,What time is it now?,现在几点？,It is 2:02 AM.,凌晨2时02分。
40,今何時？,午前6時54分です。,いまなんじ？,ごぜんろくじごじゅうよんぷんです。,What time is it now?,现在几点？,It is 6:54 AM.,上午6时54分。
41,今何時？,4時16分です。,いまなんじ？,よじじゅうろくふんです。,What time is it now?,现在几点？,It is 4:16 AM.,凌晨4时16分。
42,今何時？,11時11分です。,いまなんじ？,じゅういちじじゅういっぷんです。,What time is it now?,现在几点？,It is 11:11 AM.,上午11时11分。
43,今何時？,午後1時37分です。,いまなんじ？,ごごいちじさんじゅうななふんです。,What time is it now?,现在几点？,It is 1:37 PM.,下午1时37分。
44,今何時？,午後7時43分です。,いまなんじ？,ごごしちじよんじゅうさんぷんです。,What time is it now?,现在几点？,It is 7:43 PM.,下午7时43分。
45,今何時？,8時8分です。,いまなんじ？,はちじはっぷんです。,What time is it now?,现在几点？,It is 8:08 AM.,上午8时08分。
46,今何時？,20時32分です。,いまなんじ？,ごごにじゅうじさんじゅうにふんです。,What time is it now?,现在几点？,It is 8:32 PM.,晚上8时32分。
47,今何時？,午後3時39分です。,いまなんじ？,ごごさんじさんじゅうきゅうふんです。,What time is it now?,现在几点？,It is 3:39 PM.,下午3时39分。
48,今何時？,1時1分です。,いまなんじ？,いちじいっぷんです。,What time is it now?,现在几点？,It is 1:01 AM.,凌晨1时01分。
49,今何時？,午前11時59分です。,いまなんじ？,ごぜんじゅういちじごじゅうきゅうふんです。,What time is it now?,现在几点？,It is 11:59 AM.,上午11时59分。
50,今何時？,午前10時58分です。,いまなんじ？,ごぜんじゅうじごじゅうはっぷんです。,What time is it now?,现在几点？,It is 10:58 AM.,上午10时58分。
51,今何時？,3時15分です。,いまなんじ？,さんじじゅうごふんです。,What time is it now?,现在几点？,It is 3:15 AM.,凌晨3时15分。
52,今何時？,午後8時44分です。,いまなんじ？,ごごはちじよんじゅうよんぷんです。,What time is it now?,现在几点？,It is 8:44 PM.,晚上8时44分。
53,今何時？,22時34分です。,いまなんじ？,ごごにじゅうにじさんじゅうよんふんです。,What time is it now?,现在几点？,It is 10:34 PM.,晚上10时34分。
54,今何時？,21時33分です。,いまなんじ？,ごごにじゅういちじさんじゅうさんふんです。,What time is it now?,现在几点？,It is 9:33 PM.,晚上9时33分。
55,今何時？,午前9時57分です。,いまなんじ？,ごぜんきゅうじごじゅうななふんです。,What time is it now?,现在几点？,It is 9:57 AM.,上午9时57分。
56,今何時？,6時6分です。,いまなんじ？,ろくじろっぷんです。,What time is it now?,现在几点？,It is 6:06 AM.,上午6时06分。
57,今何時？,午後9時45分です。,いまなんじ？,ごごくじよんじゅうごふんです。,What time is it now?,现在几点？,It is 9:45 PM.,晚上9时45分。
