序号,問句,答句,問句-平仮名,答句-平仮名,問句-英语,問句-中文,答句-英语,答句-中文
1,それは何ですか,これは本です。,それはなんですか,これはほんです。,What is that?,那是什么？,It is a book.,这是一本书。
2,それは何ですか,これは犬です。,それはなんですか,これはいぬです。,What is that?,那是什么？,It is a dog.,这是一只狗。
3,それは何ですか,これは電話です。,それはなんですか,これはでんわです。,What is that?,那是什么？,It is a telephone.,这是一部电话。
4,それは何ですか,これはコーヒーカップです。,それはなんですか,これはコーヒーカップです。,What is that?,那是什么？,It is a coffee cup.,这是一只咖啡杯。
5,それは何ですか,これは鉛筆です。,それはなんですか,これはえんぴつです。,What is that?,那是什么？,It is a pencil.,这是一支铅笔。
6,それは何ですか,これは時計です。,それはなんですか,これはとけいです。,What is that?,那是什么？,It is a clock.,这是一个钟。
7,それは何ですか,これはテーブルです。,それはなんですか,これはテーブルです。,What is that?,那是什么？,It is a table.,这是一张桌子。
8,それは何ですか,これは花です。,それはなんですか,これははなです。,What is that?,那是什么？,It is a flower.,这是一朵花。
9,それは何ですか,これは携帯電話です。,それはなんですか,これはけいたいでんわです。,What is that?,那是什么？,It is a mobile phone.,这是一部手机。
10,それは何ですか,これは車です。,それはなんですか,これはくるまです。,What is that?,那是什么？,It is a car.,这是一辆车。
