序号,問句,答句,問句-平仮名,答句-平仮名,問句-英语,問句-中文,答句-英语,答句-中文
1,山口さんはおいくつですか,３１歳です。,やまぐちさんはおいくつですか,さんじゅういっさいです。,How old is Mr. Yamaguchi?,山口先生多大年纪？,He is 31 years old.,他31岁。
2,お母さんはおいくつですか,４０歳です。,おかあさんはおいくつですか,よんじゅうさいです。,How old is your mother?,你妈妈多大年纪？,She is 40 years old.,她40岁。
3,おじいさんは何歳ですか,７０歳です。,おじいさんはなんさいですか,ななじゅうさいです。,How old is your grandfather?,你祖父多大年纪？,He is 70 years old.,他70岁。
4,渡辺さんは何歳ですか,２６歳です。,わたなべさんはなんさいですか,にじゅうろくさいです。,How old is Mr. Watanabe?,渡边先生多大年纪？,He is 26 years old.,他26岁。
5,叔父は何歳ですか,５５歳です。,おじはなんさいですか,ごじゅうごさいです。,How old is your uncle?,你叔叔多大年纪？,He is 55 years old.,他55岁。
6,小林さんはおいくつですか,３４歳です。,こばやしさんはおいくつですか,さんじゅうよんさいです。,How old is Mr. Kobayashi?,小林先生多大年纪？,He is 34 years old.,他34岁。
7,お父さんは何歳ですか,４５歳です。,おとうさんはなんさいですか,よんじゅうごさいです。,How old is your father?,你爸爸多大年纪？,He is 45 years old.,他45岁。
8,姉はおいくつですか,２７歳です。,あねはおいくつですか,にじゅうななさいです。,How old is your older sister?,你姐姐多大年纪？,She is 27 years old.,她27岁。
9,山田さんは何歳ですか,３２歳です。,やまださんはなんさいですか,さんじゅうにさいです。,How old is Mr. Yamada?,山田先生多大年纪？,He is 32 years old.,他32岁。
10,叔母はおいくつですか,５０歳です。,おばはおいくつですか,ごじゅうさいです。,How old is your aunt?,你姑姑多大年纪？,She is 50 years old.,她50岁。
11,田中さんは何歳ですか,３６歳です。,たなかさんはなんさいですか,さんじゅうろくさいです。,How old is Mr. Tanaka?,田中先生多大年纪？,He is 36 years old.,他36岁。
12,兄は何歳ですか,２２歳です。,あにはなんさいですか,にじゅうにさいです。,How old is your older brother?,你哥哥多大年纪？,He is 22 years old.,他22岁。
13,お母さんはおいくつですか,４０歳です。,おかあさんはおいくつですか,よんじゅうさいです。,How old is your mother?,你妈妈多大年纪？,She is 40 years old.,她40岁。
14,息子は何歳ですか,１８歳です。,むすこはなんさいですか,じゅうはっさいです。,How old is your son?,你儿子多大年纪？,He is 18 years old.,他18岁。
15,伊藤さんは何歳ですか,３０歳です。,いとうさんはなんさいですか,さんじゅっさいです。,How old is Mr. Ito?,伊藤先生多大年纪？,He is 30 years old.,他30岁。
16,田中さんはおいくつですか,２８歳です。,たなかさんはおいくつですか,にじゅうはっさいです。,How old is Mr. Tanaka?,田中先生多大年纪？,He is 28 years old.,他28岁。
17,佐藤さんはおいくつですか,２７歳です。,さとうさんはおいくつですか,にじゅうななさいです。,How old is Mr. Sato?,佐藤先生多大年纪？,He is 27 years old.,他27岁。
18,鈴木さんはおいくつですか,２９歳です。,すずきさんはおいくつですか,にじゅうきゅうさいです。,How old is Mr. Suzuki?,铃木先生多大年纪？,He is 29 years old.,他29岁。
19,お父さんは何歳ですか,４５歳です。,おとうさんはなんさいですか,よんじゅうごさいです。,How old is your father?,你爸爸多大年纪？,He is 45 years old.,他45岁。
20,娘はおいくつですか,２０歳です。,むすめはおいくつですか,にじゅっさいです。,How old is your daughter?,你女儿多大年纪？,She is 20 years old.,她20岁。
