序号,問句,答句,問句-平仮名,答句-平仮名,問句-英语,問句-中文,答句-英语,答句-中文
1,ここはどこですか,ここは公園です。,ここはどこですか,ここはこうえんです。,Where is this place?, 这里是哪里？, This is a park., 这里是公园。
2,そこはどこですか,そこは学校です。,そこはどこですか,そこはがっこうです。,Where is that place?, 那里是哪里？, That is a school., 那里是学校。
3,あそこはどこですか,あそこは銀行です。,あそこはどこですか,あそこはぎんこうです。,Where is that place over there?, 那边是哪里？, That is a bank., 那边是银行。
4,ここは何ですか,ここはレストランです。,ここはなんですか,ここはれすとらんです。,What is this place?, 这里是什么？, This is a restaurant., 这里是餐厅。
5,そこは何ですか,そこは図書館です。,そこはなんですか,そこはとしょかんです。,What is that place?, 那里是什么？, That is a library., 那里是图书馆。
6,あそこは何ですか,あそこは病院です。,あそこはなんですか,あそこはびょういんです。,What is that place over there?, 那边是什么？, That is a hospital., 那边是医院。
7,ここはどこですか,ここはスーパーです。,ここはどこですか,ここはすーぱーです。,Where is this place?, 这里是哪里？, This is a supermarket., 这里是超市。
8,そこはどこですか,そこはコンビニです。,そこはどこですか,そこはこんびにです。,Where is that place?, 那里是哪里？, That is a convenience store., 那里是便利店。
9,あそこはどこですか,あそこは駅です。,あそこはどこですか,あそこはえきです。,Where is that place over there?, 那边是哪里？, That is a station., 那边是车站。
10,ここは何ですか,ここは美術館です。,ここはなんですか,ここはびじゅつかんです。,What is this place?, 这里是什么？, This is an art museum., 这里是美术馆。
