序号,問句,答句,問句-平仮名,答句-平仮名,問句-英语,問句-中文,答句-英语,答句-中文
1,今日は土曜日ですか、月曜日ですか？,月曜日です。,きょうはどようびですか、げつようびですか？,げつようびです。,Is today Saturday or Monday?, 今天是星期六还是星期一？, It's Monday., 今天是星期一。
2,ここはどこですか、公園ですか？,学校です。,ここはどこですか、こうえんですか？,がっこうです。,Where is this place， a park?, 这里是哪里，是公园吗？, It’s a school., 这里是学校。
3,田中さんは誰ですか、先生ですか？,学生です。,たなかさんはだれですか、せんせいですか？,がくせいです。,Who is Mr. Tanaka， a teacher?, 田中先生是谁，是老师吗？, He is a student., 他是学生。
4,この本は小説ですか、漫画ですか？,小説です。,このほんはしょうせつですか、まんがですか？,しょうせつです。,Is this book a novel or a comic?, 这本书是小说还是漫画？, It’s a novel., 这是小说。
5,昨日は何をしましたか、映画を見ましたか？,買い物をしました。,きのうはなにをしましたか、えいがをみましたか？,かいものをしました。,What did you do yesterday，did you watch a movie?, 昨天你做了什么，是看电影吗？, I went shopping., 我去购物了。
6,あの建物は美術館ですか、博物館ですか？,美術館です。,あのたてものはびじゅつかんですか、はくぶつかんですか？,びじゅつかんです。,Is that building an art museum or a museum?, 那栋建筑是美术馆还是博物馆？, It’s an art museum., 那是美术馆。
7,山田さんはどこに住んでいますか、東京に住んでいますか？,大阪に住んでいます。,やまださんはどこにすんでいますか、とうきょうにすんでいますか？,おおさかにすんでいます。,Where does Mr. Yamada live， in Tokyo?, 山田先生住在哪里，是东京吗？, He lives in Osaka., 他住在大阪。
8,この料理は寿司ですか、ラーメンですか？,寿司です。,このりょうりはすしですか、らーめんですか？,すしです。,Is this dish sushi or ramen?, 这道菜是寿司还是拉面？, It’s sushi., 这是寿司。
9,新しい車はだれのですか、父のですか、母のです？,母のです。,あたらしいくるまはだれのですか、ちちのですか、ははのですか？,ははのです。,Whose new car is it，your father’s or your mother’s?, 新车是谁的，是你父亲的还是母亲的？, It’s my mother’s., 是我母亲的。
10,この植物はバラですか、チューリップですか？,バラです。,このしょくぶつはばらですか、ちゅーりっぷですか？,ばらです。,Is this plant a rose or a tulip?, 这植物是玫瑰还是郁金香？, It’s a rose., 这是玫瑰。

