序号,問句,答句,問句-平仮名,答句-平仮名,問句-英语,問句-中文,答句-英语,答句-中文
1,東京はどこですか,東京は日本です。,とうきょうはどこですか,とうきょうはにほんです。,Where is Tokyo?,东京在哪里？,Tokyo is in Japan.,东京在日本。
2,学校はどこですか,学校は町の中心です。,がっこうはどこですか,がっこうはまちのちゅうしんです。,Where is the school?,学校在哪里？,The school is in the town center.,学校在镇中心。
3,公園はどこですか,公園は川の近くです。,こうえんはどこですか,こうえんはかわのちかくです。,Where is the park?,公园在哪里？,The park is near the river.,公园在河边。
4,レストランはどこですか,レストランは市の中心です。,れすとらんはどこですか,れすとらんはしのちゅうしんです。,Where is the restaurant?,餐厅在哪里？,The restaurant is in the city center.,餐厅在市中心。
5,図書館はどちらですか,図書館は山のふもとです。,としょかんはどちらですか,としょかんはやまのふもとです。,Where is the library?,图书馆在哪里？,The library is at the foot of the mountain.,图书馆在山脚下。
6,病院はどこですか,病院は公園の近くです。,びょういんはどこですか,びょういんはこうえんのちかくです。,Where is the hospital?,医院在哪里？,The hospital is near the park.,医院在公园附近。
7,スーパーはどちらですか,スーパーは海のそばです。,すーぱーはどちらですか,すーぱーはうみのそばです。,Where is the supermarket?,超市在哪里？,The supermarket is by the sea.,超市在海边。
8,コンビニはどこですか,コンビニは駅の前です。,こんびにはどこですか,こんびにはえきのまえです。,Where is the convenience store?,便利店在哪里？,The convenience store is in front of the station.,便利店在车站前面。
9,美術館はどこですか,美術館は山の中です。,びじゅつかんはどこですか,びじゅつかんはやまのなかです。,Where is the art museum?,美术馆在哪里？,The art museum is in the mountains.,美术馆在山中。
10,駅はどちらですか,駅は町の外れです。,えきはどちらですか,えきはまちのはずれです。,Where is the station?,车站在哪里？,The station is on the edge of town.,车站在城镇边缘。
